地区コード,都道府県コード,都道府県名,地区名称,緯度,経度
1000,1.0,北海道,北海道,43.0642,141.3469
1101,1.0,北海道,札幌市中央区,43.0642,141.3469
1102,1.0,北海道,札幌市北区,43.0907,141.3409
1103,1.0,北海道,札幌市東区,43.0764,141.3644
1104,1.0,北海道,札幌市白石区,43.0474,141.4045
1105,1.0,北海道,札幌市豊平区,43.0314,141.381
1106,1.0,北海道,札幌市南区,42.989,141.354
1107,1.0,北海道,札幌市西区,43.0762,141.301
1108,1.0,北海道,札幌市厚別区,43.0308,141.4879
1109,1.0,北海道,札幌市手稲区,43.1213,141.2461
1110,1.0,北海道,札幌市清田区,42.9992,141.4489
1202,1.0,北海道,函館市,41.7688,140.7289
1203,1.0,北海道,小樽市,43.1907,140.9946
1204,1.0,北海道,旭川市,43.7706,142.365
1205,1.0,北海道,室蘭市,42.315,140.9739
1206,1.0,北海道,釧路市,42.9849,144.382
1207,1.0,北海道,帯広市,42.9236,143.1946
1208,1.0,北海道,北見市,43.8039,143.8965
1209,1.0,北海道,夕張市,43.0596,141.9743
1210,1.0,北海道,岩見沢市,43.1963,141.775
1211,1.0,北海道,網走市,44.0206,144.2737
1212,1.0,北海道,留萌市,43.9358,141.6372
1213,1.0,北海道,苫小牧市,42.6341,141.6061
1214,1.0,北海道,稚内市,45.4159,141.6739
1215,1.0,北海道,美唄市,43.3326,141.8513
1216,1.0,北海道,芦別市,43.5203,142.1894
1217,1.0,北海道,江別市,43.1036,141.537
1218,1.0,北海道,赤平市,43.5581,142.0441
1219,1.0,北海道,紋別市,44.3552,143.3543
1220,1.0,北海道,士別市,44.1795,142.4017
1221,1.0,北海道,名寄市,44.3556,142.4633
1222,1.0,北海道,三笠市,43.2456,141.8765
1223,1.0,北海道,根室市,43.3289,145.5857
1224,1.0,北海道,千歳市,42.8197,141.6524
1225,1.0,北海道,滝川市,43.5566,141.91
1226,1.0,北海道,砂川市,43.4952,141.9034
1227,1.0,北海道,歌志内市,43.5176,142.0372
1228,1.0,北海道,深川市,43.7212,142.0545
1229,1.0,北海道,富良野市,43.3417,142.3833
1230,1.0,北海道,登別市,42.4122,141.1077
1231,1.0,北海道,恵庭市,42.8827,141.5766
1233,1.0,北海道,伊達市,42.4697,140.8689
1234,1.0,北海道,北広島市,42.9862,141.5643
1235,1.0,北海道,石狩市,43.1714,141.3156
1236,1.0,北海道,北斗市,41.8224,140.6485
2000,2.0,青森県,青森県,40.8244,140.74
2201,2.0,青森県,青森市,40.8244,140.74
2202,2.0,青森県,弘前市,40.6031,140.4639
2203,2.0,青森県,八戸市,40.5125,141.4883
3000,3.0,岩手県,岩手県,39.7036,141.1527
3201,3.0,岩手県,盛岡市,39.7036,141.1527
4000,4.0,宮城県,宮城県,38.2682,140.8694
4100,,,仙台市,38.2682,140.8694
4100,4.0,宮城県,宮城県,38.2682,140.8694
5000,5.0,秋田県,秋田県,39.7186,140.1024
5201,5.0,秋田県,秋田市,39.7186,140.1024
6000,6.0,山形県,山形県,38.2404,140.3633
6201,6.0,山形県,山形市,38.2404,140.3633
7000,7.0,福島県,福島県,37.7503,140.4676
7201,7.0,福島県,福島市,37.7608,140.4747
7202,7.0,福島県,会津若松市,37.4953,139.9304
7203,7.0,福島県,郡山市,37.4,140.3539
7204,7.0,福島県,いわき市,37.0489,140.8889
8000,8.0,茨城県,茨城県,36.3418,140.4467
8201,8.0,茨城県,水戸市,36.3418,140.4468
9000,9.0,栃木県,栃木県,36.5656,139.8836
9201,9.0,栃木県,宇都宮市,36.5658,139.8836
10000,10.0,群馬県,群馬県,36.3911,139.0608
10201,10.0,群馬県,前橋市,36.3911,139.0608
11000,11.0,埼玉県,埼玉県,35.8617,139.6455
11100,,,さいたま市,35.8617,139.6455
12000,12.0,千葉県,千葉県,35.6047,140.1233
12100,,,千葉市,35.6074,140.1065
13000,13.0,東京都,東京都,35.6895,139.6917
13101,13.0,東京都,東京都千代田区,35.6938,139.7536
13102,13.0,東京都,東京都中央区,35.6706,139.7706
13103,13.0,東京都,東京都港区,35.6581,139.7514
13104,13.0,東京都,東京都新宿区,35.6938,139.7036
13113,13.0,東京都,東京都渋谷区,35.664,139.698
14000,14.0,神奈川県,神奈川県,35.4478,139.6425
14100,,,横浜市,35.4437,139.638
14130,,,川崎市,35.5307,139.7029
15000,15.0,新潟県,新潟県,37.9022,139.0233
15100,,,新潟市,37.9161,139.0364
16000,16.0,富山県,富山県,36.6953,137.2113
16201,16.0,富山県,富山市,36.6953,137.2113
17000,17.0,石川県,石川県,36.5946,136.6256
17201,17.0,石川県,金沢市,36.5614,136.6562
18000,18.0,福井県,福井県,36.0652,136.2217
18201,18.0,福井県,福井市,36.0652,136.2216
19000,19.0,山梨県,山梨県,35.6642,138.5683
19201,19.0,山梨県,甲府市,35.6636,138.5683
20000,20.0,長野県,長野県,36.6513,138.181
20201,20.0,長野県,長野市,36.6513,138.181
20202,20.0,長野県,松本市,36.2381,137.9722
21000,21.0,岐阜県,岐阜県,35.3912,136.7222
21201,21.0,岐阜県,岐阜市,35.3912,136.7223
22000,22.0,静岡県,静岡県,34.9769,138.3831
22100,,,静岡市,34.9756,138.3828
22130,,,浜松市,34.7108,137.7261
23000,23.0,愛知県,愛知県,35.1802,136.9066
23100,,,名古屋市,35.1815,136.9066
24000,24.0,三重県,三重県,34.7303,136.5086
24201,24.0,三重県,津市,34.7303,136.5086
